case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
SYN-001,HTTPS traffic blocked between Branch subnet and Server 10.0.3.50,Core Switch SVI with inbound ACL applied on Vlan40,access-list 110 deny tcp any host 10.0.3.50 eq 22; access-list 110 permit ip any any,ACL blocking HTTPS port 443 while permitting HTTP port 80,Layer 4,ACL,High
SYN-002,BGP routes from AS 65039 not installed in routing table,Edge Router R4 connecting to ISP Gateway via Gi0/4,router bgp 65039; neighbor 192.168.19.10 remote-as 65158; ebgp-multihop not configured,Outbound BGP route-map ACL blocking prefix advertisement,Layer 3,BGP,Critical
SYN-003,DHCP pool running out of leases for VLAN 20 clients,Central DHCP server on VLAN 50 serving remote VLAN 20,ip dhcp pool LAN_POOL; total 10; leased 10; zero available,DHCP scope missing default-router option parameter,Layer 7,DHCP,High
SYN-004,DHCP pool running out of leases for VLAN 40 clients,Central DHCP server on VLAN 50 serving remote VLAN 40,ip dhcp pool LAN_POOL; total 10; leased 10; zero available,DHCP scope missing default-router option parameter,Layer 7,DHCP,High
SYN-005,BGP neighbor 192.168.17.10 fails to establish peering,Edge Router R2 connecting to ISP Gateway via Gi0/2,BGP state = Active; neighbor 192.168.17.10 remote-as 65183; (no route to peer IP),Missing underlying Layer 3 route to BGP peer IP,Layer 3,BGP,Critical
SYN-006,Native VLAN mismatch CDP error logged on trunk link,"Distribution switch interconnect carrying VLANs 10, 20, 30","switchport trunk allowed vlan 10,30; (VLAN 40 excluded from allowed list)",Required VLAN omitted from switchport trunk allowed VLAN list,Layer 2,VLAN Trunking,High
SYN-007,SNMP polling packets dropped between NMS and Router R1,Core Switch SVI with inbound ACL applied on Vlan40,access-list 115 permit tcp any any eq 80; access-list 115 deny tcp any any eq 443,Extended ACL rule explicitly denying destination port 22,Layer 4,ACL,High
SYN-008,BGP routes from AS 65006 not installed in routing table,Edge Router R1 connecting to ISP Gateway via Gi0/1,router bgp 65006; neighbor 192.168.41.10 remote-as 65165; ebgp-multihop not configured,Missing eBGP multihop for multi-hop peering session,Layer 3,BGP,Critical
SYN-009,HTTPS traffic blocked between Branch subnet and Server 10.0.7.50,Core Switch SVI with inbound ACL applied on Vlan20,access-list 110 deny tcp any host 10.0.7.50 eq 22; access-list 110 permit ip any any,Extended ACL rule explicitly denying destination port 22,Layer 4,ACL,High
SYN-010,Native VLAN mismatch CDP error logged on trunk link,"Distribution switch interconnect carrying VLANs 10, 20, 30",SW1: switchport mode dynamic auto; SW2: switchport mode dynamic auto,DTP mode dynamic auto on both sides preventing trunk negotiation,Layer 2,VLAN Trunking,High
SYN-011,Native VLAN mismatch CDP error logged on trunk link,"Distribution switch interconnect carrying VLANs 10, 20, 30",SW1: switchport mode dynamic auto; SW2: switchport mode dynamic auto,Required VLAN omitted from switchport trunk allowed VLAN list,Layer 2,VLAN Trunking,High
SYN-012,SNMP polling packets dropped between NMS and Router R1,Core Switch SVI with inbound ACL applied on Vlan50,access-list 120 deny udp any host 10.0.17.50 eq 161; access-list 120 permit ip any any,ACL blocking HTTPS port 443 while permitting HTTP port 80,Layer 4,ACL,High
SYN-013,DHCP pool running out of leases for VLAN 100 clients,Central DHCP server on VLAN 50 serving remote VLAN 100,ip dhcp pool LAN_POOL; total 10; leased 10; zero available,Missing IP Helper-Address relay configuration on sub-interface,Layer 7,DHCP,High
SYN-014,Hosts in VLAN 100 cannot communicate across distribution switch,Trunk link between SW2 Gi0/2 and SW6 Gi0/2,"switchport trunk allowed vlan 10,30; (VLAN 100 excluded from allowed list)",DTP mode dynamic auto on both sides preventing trunk negotiation,Layer 2,VLAN Trunking,High
SYN-015,BGP neighbor 192.168.68.10 fails to establish peering,Border Router running eBGP with peer router at 192.168.68.10,router bgp 65028; neighbor 192.168.68.10 remote-as 65110; ebgp-multihop not configured,Missing underlying Layer 3 route to BGP peer IP,Layer 3,BGP,Critical
